gen,ind,fit,avg,max,min
3,8,0.18680883932288178,0.37010123941315154,0.771808477930265,0.09023596763341528
3,9,0.1868088377127596,0.37010123941315154,0.771808477930265,0.09023596763341528
3,10,0.1868088377127596,0.37010123941315154,0.771808477930265,0.09023596763341528
4,1,0.771808477930265,0.34254359674946894,0.771808477930265,0.09022869226861599
4,2,0.6937120973170844,0.34254359674946894,0.771808477930265,0.09022869226861599
4,3,0.6666010465068815,0.34254359674946894,0.771808477930265,0.09022869226861599
4,4,0.6428868725972718,0.34254359674946894,0.771808477930265,0.09022869226861599
4,5,0.09438963352573917,0.34254359674946894,0.771808477930265,0.09022869226861599
4,6,0.09022869226861599,0.34254359674946894,0.771808477930265,0.09022869226861599
4,7,0.09438025787478876,0.34254359674946894,0.771808477930265,0.09022869226861599
4,8,0.0902378593994031,0.34254359674946894,0.771808477930265,0.09022869226861599
4,9,0.18680883690769853,0.34254359674946894,0.771808477930265,0.09022869226861599
4,10,0.09438219316694106,0.34254359674946894,0.771808477930265,0.09022869226861599
5,1,0.771808477930265,0.36144361014322446,0.771808477930265,0.09023596763341528
5,2,0.6937120973170844,0.36144361014322446,0.771808477930265,0.09023596763341528
5,3,0.6666010465068815,0.36144361014322446,0.771808477930265,0.09023596763341528
5,4,0.6428868725972718,0.36144361014322446,0.771808477930265,0.09023596763341528
5,5,0.09438036717077139,0.36144361014322446,0.771808477930265,0.09023596763341528
5,6,0.18681140586645348,0.36144361014322446,0.771808477930265,0.09023596763341528
5,7,0.18680883690769853,0.36144361014322446,0.771808477930265,0.09023596763341528
5,8,0.18680883690769853,0.36144361014322446,0.771808477930265,0.09023596763341528
5,9,0.09438219259470508,0.36144361014322446,0.771808477930265,0.09023596763341528
5,10,0.09023596763341528,0.36144361014322446,0.771808477930265,0.09023596763341528
6,1,0.771808477930265,0.37110107961304617,0.771808477930265,0.09438219259470508
6,2,0.6937120973170844,0.37110107961304617,0.771808477930265,0.09438219259470508
6,3,0.6666010465068815,0.37110107961304617,0.771808477930265,0.09438219259470508
6,4,0.6428868725972718,0.37110107961304617,0.771808477930265,0.09438219259470508
6,5,0.18680883690769853,0.37110107961304617,0.771808477930265,0.09438219259470508
6,6,0.18681140586645348,0.37110107961304617,0.771808477930265,0.09438219259470508
6,7,0.18680883690769853,0.37110107961304617,0.771808477930265,0.09438219259470508
