gen,ind,fit,avg,max,min
3,7,0.8017300702292215,0.7220565396365641,0.8017300702292215,0.6658989390448549
3,8,0.771808477930265,0.7220565396365641,0.8017300702292215,0.6658989390448549
3,9,0.7718084762938822,0.7220565396365641,0.8017300702292215,0.6658989390448549
3,10,0.6666010495484186,0.7220565396365641,0.8017300702292215,0.6658989390448549
4,1,0.6658989390448549,0.7401714779184178,0.771808477930265,0.6658989390448549
4,2,0.771808477930265,0.7401714779184178,0.771808477930265,0.6658989390448549
4,3,0.771808477930265,0.7401714779184178,0.771808477930265,0.6658989390448549
4,4,0.6666010495484186,0.7401714779184178,0.771808477930265,0.6658989390448549
4,5,0.771808477930265,0.7401714779184178,0.771808477930265,0.6658989390448549
4,6,0.771808477930265,0.7401714779184178,0.771808477930265,0.6658989390448549
4,7,0.771808477930265,0.7401714779184178,0.771808477930265,0.6658989390448549
4,8,0.7717628758887922,0.7401714779184178,0.771808477930265,0.6658989390448549
4,9,0.7718084435662271,0.7401714779184178,0.771808477930265,0.6658989390448549
4,10,0.6666010814845584,0.7401714779184178,0.771808477930265,0.6658989390448549
5,1,0.771808477930265,0.6825470490224215,0.771808477930265,0.19488376813956332
5,2,0.771808477930265,0.6825470490224215,0.771808477930265,0.19488376813956332
5,3,0.7718068022752159,0.6825470490224215,0.771808477930265,0.19488376813956332
5,4,0.6666026387525009,0.6825470490224215,0.771808477930265,0.19488376813956332
5,5,0.19488376813956332,0.6825470490224215,0.771808477930265,0.19488376813956332
5,6,0.6666010495484186,0.6825470490224215,0.771808477930265,0.19488376813956332
5,7,0.7708486256795621,0.6825470490224215,0.771808477930265,0.19488376813956332
5,8,0.6674936941078939,0.6825470490224215,0.771808477930265,0.19488376813956332
5,9,0.771808477930265,0.6825470490224215,0.771808477930265,0.19488376813956332
5,10,0.771808477930265,0.6825470490224215,0.771808477930265,0.19488376813956332
6,1,0.7718068022752159,0.7507597601431616,0.771808477930265,0.6666026387525009
6,2,0.7718068022752159,0.7507597601431616,0.771808477930265,0.6666026387525009
6,3,0.7718068022752159,0.7507597601431616,0.771808477930265,0.6666026387525009
6,4,0.6674936941078939,0.7507597601431616,0.771808477930265,0.6666026387525009
6,5,0.771808477930265,0.7507597601431616,0.771808477930265,0.6666026387525009
6,6,0.7708486256795621,0.7507597601431616,0.771808477930265,0.6666026387525009
